id,filename,title,year,venue,doi,category,source_url
17,17-performance-kk-medium-reach.pdf,"Performance of Kramers-Kronig coherent receivers for medium-reach optical communication",2023,Optical Fiber Technology,10.1016/j.yofte.2023.103185,KK and field recovery,https://wrap.warwick.ac.uk/id/eprint/177939/1/WRAP-Performance-Kramers%E2%80%93Kronig-coherent-receivers-medium-reach-optical-communication-23.pdf
18,18-analog-low-latency-kk-receiver.pdf,"Analog Low-Latency Kramers-Kronig optical Single-Sideband Receiver",2021,Journal of Lightwave Technology,10.1109/JLT.2021.3060062,KK and field recovery,https://researchmgt.monash.edu/ws/files/370550112/343647996_oa.pdf
19,19-stokes-vector-kk-480gbps.pdf,"Single wavelength 480 Gb/s direct detection over 80km SSMF enabled by Stokes Vector Kramers Kronig transceiver",2017,arXiv preprint,,KK and field recovery,https://arxiv.org/pdf/1710.10384
20,20-compact-metasurface-self-coherent-receiver.pdf,"Compact and scalable polarimetric self-coherent receiver using dielectric metasurface",2023,Nature Communications,10.1038/s41467-023-37544-7,Self-coherent receiver,https://arxiv.org/pdf/2301.01942
21,21-ssbi-free-phase-diverse-direct-detection.pdf,"SSBI-Free Direct Detection via Phase Diverse of Residual Optical Carrier Enabled by Finite Extinction Ratio IQ Modulator for Datacenter Interconnections",2026,arXiv preprint,,SSBI mitigation,https://arxiv.org/pdf/2604.06642
22,22-kk-digitally-added-carrier.pdf,"Kramers-Kronig Receiver With Digitally Added Carrier Combined With Digital Resolution Enhancer",2022,Journal of Lightwave Technology,10.1109/JLT.2022.3142353,KK and field recovery,https://pure.tue.nl/ws/files/197822596/Kramers_Kronig_Receiver_With_Digitally_Added_Carrier_Combined_With_Digital_Resolution_Enhancer.pdf
23,23-pdm-simplified-twin-ssb.pdf,"Optical Polarization Division Multiplexing Transmission System Based on Simplified Twin-SSB Modulation",2022,Sensors,10.3390/s22207700,Independent sideband,https://mdpi-res.com/d_attachment/sensors/sensors-22-07700/article_deploy/sensors-22-07700.pdf
24,24-terahertz-photonics-wireless-communications.pdf,"TeraHertz Photonics for Wireless Communications",2015,Journal of Lightwave Technology,10.1109/JLT.2014.2355137,Photonics-aided THz,https://discovery.ucl.ac.uk/id/eprint/1452326/1/fice_06892933.pdf
25,25-multicarrier-thz-wireless-transmission.pdf,"Single Sideband Signals for Phase Noise Mitigation in Wireless THz-Over-Fibre Systems",2018,Journal of Lightwave Technology,10.1109/JLT.2018.2864025,Photonics-aided THz,https://discovery.ucl.ac.uk/id/eprint/10054998/12/08430507.pdf
26,26-generalized-kk-coherent-thz.pdf,"Generalized Kramers-Kronig receiver for coherent terahertz communications",2020,Nature Photonics,10.1038/s41566-020-0675-0,Photonics-aided THz,https://arxiv.org/pdf/1907.03630
27,27-review-self-coherent-optical-transceivers.pdf,"A Review of Self-Coherent Optical Transceivers: Fundamental Issues, Recent Advances, and Research Directions",2021,Applied Sciences,10.3390/app11167554,Review,https://mdpi-res.com/d_attachment/applsci/applsci-11-07554/article_deploy/applsci-11-07554-v3.pdf?version=1629812411
28,28-dsp-enabled-optical-detection-pon.pdf,"DSP Enabled Optical Detection Techniques for PON",2020,Journal of Lightwave Technology,10.1109/JLT.2020.2964877,Review,https://discovery.ucl.ac.uk/id/eprint/10092004/1/JLT-dsp%20in%20pon_v_rev_sub.pdf
29,29-ssb-dd-nscm-vs-ofdm.pdf,"Performance Comparison of Single-Sideband Direct Detection Nyquist-Subcarrier Modulation and OFDM",2015,Journal of Lightwave Technology,10.1109/JLT.2015.2401396,Single-sideband direct detection,https://discovery.ucl.ac.uk/id/eprint/1472962/1/07036049.pdf
30,30-review-recent-coherent-optical-communications.pdf,"Recent Advances in Coherent Optical Communications for Short-Reach",2023,Photonics,10.3390/photonics10030308,Review,https://mdpi-res.com/d_attachment/photonics/photonics-10-00308/article_deploy/photonics-10-00308.pdf
31,31-accurate-field-reconstruction-low-cspr.pdf,"Accurate Field Reconstruction at Low CSPR Condition Based on a Modified KK Receiver With Direct Detection",2020,Journal of Lightwave Technology,10.1109/JLT.2019.2960571,KK and field recovery,https://otip.sjtu.edu.cn/publication/Journal/2020-JLT-ShaohuaAn-Accurate%20Field%20Reconstruction%20at%20Low.pdf
32,32-dsm-carrierless-phase-retrieval.pdf,"Digital Subcarrier Multiplexing for Carrier-Free Phase-Retrieval Coherent Receiver",2023,Advanced Photonics Nexus,10.1117/1.APN.2.4.046004,Carrier-free phase retrieval,https://www.researching.cn/ArticlePdf/m00105/2023/2/4/046004.pdf
33,33-multi-twin-ssb-long-reach-pon.pdf,"Multi-Twin-SSB Modulation with Direct Detection Based on Kramers-Kronig Scheme for Long-Reach PON Downstream",2019,Applied Sciences,10.3390/app9040748,Twin-SSB and PON,https://mdpi-res.com/d_attachment/applsci/applsci-09-00748/article_deploy/applsci-09-00748-v2.pdf
34,34-filter-assisted-self-coherent-detection.pdf,"Filter-Assisted Self-Coherent Detection Field Recovery Scheme for Dual-Polarization Complex-Valued Double-Sideband Signals",2025,Photonics,10.3390/photonics12040343,Self-coherent field recovery,https://mdpi-res.com/d_attachment/photonics/photonics-12-00343/article_deploy/photonics-12-00343.pdf
35,35-neural-equalization-imdd-review.pdf,"Advanced Neural Network-Based Equalization in Intensity-Modulated Direct-Detection Optical Systems: Current Status and Future Trends",2024,Photonics,10.3390/photonics11080702,IM/DD neural equalization review,https://mdpi-res.com/d_attachment/photonics/photonics-11-00702/article_deploy/photonics-11-00702.pdf
36,36-zero-guard-band-dual-ssb-pam4.pdf,"Zero-guard band dual-SSB PAM4 signal transmission with joint equalization scheme",2020,Optics Letters,10.1364/OL.410473,Dual-SSB direct detection,https://otip.sjtu.edu.cn/publication/Journal/2020-OL-JingchiLi-Zero-guard%20band%20dual-SSB%20PAM4%20signal.pdf
